"word","resp"
"system","system;computer;biology;ecosystem;3;4;5;4"
"university","university;student;research;academia;5;5;5;5"
"complex","complex;environment;system;;3;5;3;"
"life","life;animal;biology;earth;5;5;5;5"
"biology","biology;animal;plant;earth;5;5;5;5"
"mathematics","mathematics;physics;analyse;system;3;3;3;3"
"school","school;teacher;student;desk;3;3;5;5"
"physics","physics;mathematics;chemistry;nature;3;3;5;5"
"chemistry","chemistry;physics;mathematics;life;5;3;3;5"
"art","art;pop;painting;music;5;5;5;5"
"age","35"
"gender","female"
"nationality","Portugal"
"firstlang","portuguese"
"job","scientist"
"stem","3"
