"word","resp"
"complex","complex;Complicated ;Task;Simple ;2;2;3;4"
"chemistry","chemistry;Biology;Science ;Molecules ;3;5;5;5"
"life","life;Hard ;Fun;Tired ;5;2;5;1"
"system","system;Cells;Network ;Computer ;3;3;3;3"
"mathematics","mathematics;Numbers ;Addition ;Decimal ;4;5;5;3"
"university","university;Of ;School ;Waste ;1;3;3;1"
"school","school;High;Childhood ;Bell ;3;4;4;2"
"art","art;Picture ;Good;Bad;4;5;5;1"
"physics","physics;Science ;Hard;Space ;2;5;2;5"
"biology","biology;Science ;Human ;Body ;5;5;4;5"
"age","34"
"gender","Female "
"nationality","Scottish "
"firstlang","English "
"job","Lab technician "
"stem","1"
