"word","resp"
"school","school;Children;Teaching;Play;5;4;4;5"
"chemistry","chemistry;Elements ;Bunsen burner;Bacteria;4;4;3;1"
"art","art;Paint;Expression;Creation;5;4;5;5"
"complex","complex;Puzzle;Science;Thought;3;4;3;5"
"biology","biology;Nature;Anatomy;Plants;4;5;3;4"
"mathematics","mathematics;Numbers;Puzzle;Calculator ;1;3;4;2"
"physics","physics;School;Professor;Movement;1;4;4;4"
"system","system;Solar;Plan;Computer;3;4;3;4"
"life","life;Joy;Health;Medicine ;5;5;5;5"
"university","university;Learning;Degree;Teaching;4;5;4;4"
"age","29"
"gender","Female"
"nationality","British"
"firstlang","English"
"job","Train Cleaner"
"stem","1"
