"word","resp"
"art","art;paint;canvas;frame;3;3;4;3"
"school","school;books;backpack;concrete;4;5;3;2"
"biology","biology;bones;tissue;jars;4;5;4;5"
"system","system;sysadmin;order;trap;4;3;4;1"
"chemistry","chemistry;molecule;reaction;explosion;3;3;3;5"
"mathematics","mathematics;trigonometry;equations;puzzle;5;4;4;3"
"complex","complex;difficult;maze;variables;4;3;4;3"
"life","life;organic;breathing;heartbeat;5;4;4;4"
"university","university;gowns;learning;library;4;3;5;4"
"physics","physics;electrodynamics;quantum mechanics;lab;4;2;3;3"
"age","29"
"gender","female"
"nationality","Netherlands"
"firstlang","Dutch"
"job","Environment Engineer"
"stem","3"
