"word","resp"
"complex","complex;puzzels;difficult;layers;4;5;1;3"
"system","system;computers;order;logic;3;4;4;4"
"life","life;babies;biology;fauna;5;5;3;4"
"biology","biology;science;laboratory;nature;3;4;3;5"
"art","art;museums;beauty;paintings;5;4;5;5"
"chemistry","chemistry;laboratory;experiments;industry;3;3;3;3"
"school","school;education;classroom;learning;4;4;3;4"
"mathematics","mathematics;formulas;science;logic;3;4;4;4"
"physics","physics;science;laws of nature;understanding the world;4;4;4;4"
"university","university;research;education;academic traditions;3;3;4;2"
"age","24"
"gender","Female"
"nationality","Dutch"
"firstlang","Dutch"
"job","Astronomy for development project officer"
"stem","3"
