"word","resp"
"physics","physics;dead;equations;sexist;4;1;2;1"
"life","life;fun;g;sunny;4;5;;5"
"university","university;work;mystery;harsh;4;4;3;1"
"system","system;organised;explanatory;hidden;4;4;4;2"
"complex","complex;interesting;difficult;embarrassing;4;5;3;1"
"art","art;entertaining;luxury;performance;3;4;4;4"
"chemistry","chemistry;labs;smelly;sexist;4;3;2;1"
"mathematics","mathematics;useful;complex;scary;4;5;4;2"
"school","school;potential;exhausting;friends;5;5;2;5"
"biology","biology;squishy;outdoors;easy;4;3;4;4"
"age","57"
"gender","female"
"nationality","United Kingdom"
"firstlang","English"
"job","university teacher"
"stem","3"
