"word","resp"
"life","life;insurance;goals;happiness;5;2;4;5"
"university","university;degree;fun;study;5;4;5;4"
"system","system;engineering;complex;integrated;5;5;4;5"
"biology","biology;animals;plants;function;4;4;3;4"
"physics","physics;everything;laws;dynamics;5;5;4;4"
"school","school;friends;building;marks;4;5;3;2"
"mathematics","mathematics;sums;necessary;equations;4;3;3;4"
"chemistry","chemistry;chemicals;mixing;;4;4;4;"
"art","art;drawing;painting;sculpting;4;5;4;5"
"complex","complex;hard;difficult;challenging;4;2;2;4"
"age","42"
"gender","Male"
"nationality","British"
"firstlang","English"
"job","CPD leader for teachers"
"stem","3"
