"word","resp"
"physics","physics;science;gravity;space;5;5;5;5"
"mathematics","mathematics;solution;equation;number;5;5;5;5"
"complex","complex;number;task;human;4;4;3;4"
"university","university;life;career;friends;5;5;4;5"
"chemistry","chemistry;science;test tube;bubbles;5;;3;3"
"biology","biology;animals;experiment;water;4;4;5;5"
"school","school;teacher;students;silence;5;4;4;3"
"system","system;computer;eco;organisation;3;3;4;4"
"life","life;love;sun;happy;5;5;5;5"
"art","art;concept;idea;design;5;5;5;5"
"age","34"
"gender","female"
"nationality","cypriot"
"firstlang","greek cypriot"
"job","University employee"
"stem","3"
