"word","resp"
"art","art;picture;paint;gallery;5;4;3;4"
"complex","complex;number;building;swimming pool;2;4;3;5"
"chemistry","chemistry;test tube;chemicals;school;4;4;3;5"
"university","university;london;work;maths;4;4;1;3"
"physics","physics;planets;stars;black holes;4;5;5;5"
"school","school;lessons;bell;lunch;5;4;4;5"
"system","system;computer;algorithm;job;3;2;4;2"
"biology","biology;plants;school;blood;5;5;5;3"
"mathematics","mathematics;numbers;shapes;graphs;4;4;5;3"
"life","life;biology;air;water;5;4;3;3"
"age","26"
"gender","female"
"nationality","british"
"firstlang","english"
"job","PhD student"
"stem","2"
