"word","resp"
"system","system;Operative system;Technology;Connection;3;4;4;5"
"life","life;Health;Leaf;Green;5;4;4;4"
"university","university;Students;Books;Change;4;4;3;5"
"physics","physics;Links;Methods;Research;3;4;4;5"
"school","school;Work;Stress;Activities;2;3;2;4"
"mathematics","mathematics;Complexity;Hard work;;3;3;3;"
"art","art;Brusher;Canvas;Color palette;4;5;5;4"
"biology","biology;Cells;Organules;Life;4;5;4;5"
"chemistry","chemistry;Energy;Atoms;Bounds;4;5;4;4"
"complex","complex;Numbers;Maths;;4;2;3;"
"age","18"
"gender","Male"
"nationality","Italian"
"firstlang","Italian"
"job","Student"
"stem","1"
