"word","resp"
"system","system;Operative;Software;Data;5;5;5;5"
"life","life;Love;Music;Thoughts;5;4;5;3"
"university","university;Study;City;Interest;5;5;5;5"
"physics","physics;Dynamics;Pendulum;Challenge;5;5;;5"
"school","school;Sleep;Classmates;Engaging;4;5;5;3"
"mathematics","mathematics;Axis;Equations;Satisfaction;5;5;5;5"
"art","art;Music;Freedom;Spirit;4;5;5;5"
"biology","biology;Boredom;Complexity;Environment;3;5;5;5"
"chemistry","chemistry;Difficulty;Atoms;Names;4;5;5;4"
"complex","complex;Challenging;Satisfaction;Learning;5;5;5;5"
"age","18"
"gender","Male"
"nationality","Italian"
"firstlang","Italian"
"job","Student"
"stem","1"
