"word","resp"
"mathematics","mathematics;tool;algebra;geometry;5;4;4;4"
"physics","physics;acoustic;thermodynamic;electronic;5;5;5;4"
"complex","complex;number;difficult;passionate;4;4;2;4"
"system","system;ensemble;equations;tiny things;5;4;3;5"
"biology","biology;flower;body;rock;3;4;3;3"
"school","school;break;students;teachers;2;1;1;3"
"university","university;researchers;amphitheatre;acoustic;4;5;3;5"
"art","art;piano;choir;painting;5;5;5;5"
"chemistry","chemistry;pH;reactions;;3;2;4;"
"life","life;animals;flowers;humans;3;5;5;2"
"age","20"
"gender","female"
"nationality","french"
"firstlang","french"
"job","2nd year at university in acoustic"
"stem","2"
