"word","resp"
"physics","physics;life;matter;attraction;5;5;5;5"
"chemistry","chemistry;process;information;elements;5;5;5;5"
"university","university;doctrines;nerds;approvals;4;1;2;1"
"complex","complex;alive;conscious ;loving;5;5;5;5"
"biology","biology;Bertalanffy;computation;breathing;5;5;5;5"
"school","school;uniform;rock music;drawing;5;2;5;5"
"art","art;anarchy;St Peterburg;ancient sculptures;5;5;5;5"
"mathematics","mathematics;language;proportions;precision;5;5;5;5"
"life","life;love;dream;eternity;5;5;5;5"
"system","system;of a down;open;closed;5;5;5;3"
"age","32"
"gender","female"
"nationality","Russian"
"firstlang","Russian"
"job","Project leader for contents development at an experimental welfare technology center in Norway"
"stem","3"
