"word","resp"
"chemistry","chemistry;physics ;science;biology;5;4;4;4"
"mathematics","mathematics;science;numbers;calculation;5;4;5;4"
"art","art;drawing;colours;visual;5;3;3;3"
"biology","biology;science;chemistry;living matters;5;4;4;5"
"complex","complex;difficult;many steps;time consuming;5;5;3;3"
"life","life;death;existence;nothingness;5;4;4;3"
"system","system;society;structure;organisation;5;3;4;3"
"school","school;study;education;learning;5;4;4;4"
"university","university;wisdom;education;research;5;3;4;5"
"physics","physics;science;chemistry;biology;5;4;4;4"
"age","23"
"gender","Male"
"nationality","Singaporean"
"firstlang","English"
"job","student"
"stem","1"
