"word","resp"
"system","system;computer;mechanism;company;3;3;3;3"
"biology","biology;animal;cerebral;science;3;3;3;4"
"school","school;children;book;teacher;3;3;3;3"
"university","university;student;professor;principal;4;3;4;4"
"complex","complex;complicated;difficulty;easy;2;1;1;5"
"chemistry","chemistry;liquid;laboratory;experiment;3;3;3;3"
"mathematics","mathematics;number;formula;equation;3;3;3;3"
"physics","physics;atom;laboratory;nuclear;3;3;3;2"
"art","art;portrait;museum;drawing;4;4;4;4"
"life","life;human;meaning;game;3;3;3;4"
"age","30"
"gender","M"
"nationality","Taiwan"
"firstlang","Taiwan Mandarin"
"job","graduate student"
"stem","2"
