"word","resp"
"art","art;science;creativity;music;5;2;5;4"
"life","life;happy;work;study;4;5;2;2"
"physics","physics;complex;universe;celestial bodies;2;2;3;3"
"chemistry","chemistry;reagent;accurate;calm;1;2;3;4"
"university","university;dormitory;teaching building;teacher;5;5;4;4"
"mathematics","mathematics;calculus;algebra;geometry;2;1;1;2"
"complex","complex;difficult;tough;easy;2;2;2;4"
"system","system;computer;mac;windows;4;4;4;4"
"school","school;study;student;teacher;4;2;5;4"
"biology","biology;neuroscience;psychology;computer science;4;4;4;2"
"age","25"
"gender","female"
"nationality","Chinese"
"firstlang","Chinese"
"job","master student"
"stem","1"
