"word","resp"
"school","school;kid;parents;teachers;5;5;4;4"
"biology","biology;life;cells;chemistry;4;5;3;2"
"chemistry","chemistry;atoms;tube;physics;2;4;3;5"
"university","university;teaching;students;job;5;3;2;4"
"art","art;fun;creativity;sister;4;5;5;5"
"physics","physics;job;universe;laws;5;4;5;5"
"mathematics","mathematics;algebra;calculus;science;4;2;4;5"
"complex","complex;difficult;numbers;science;5;5;5;5"
"life","life;hard;death;birth;5;4;1;5"
"system","system;computing;grid;wires;;4;3;2"
"age","48"
"gender","Female"
"nationality","Spanish"
"firstlang","Spanish"
"job","University lecturer"
"stem","3"
