"word","resp"
"complex","complex;Vitamin;Mind;Term;4;4;5;3"
"art","art;Rennaisanse;Aestetics;Musseum;5;3;5;5"
"life","life;Long;Tree;Death;5;4;3;2"
"system","system;Periodic;Values;Educational;4;2;5;2"
"school","school;Stuff;Book;Bell;3;3;5;2"
"mathematics","mathematics;Triangle;Number;Statistics;3;3;3;5"
"chemistry","chemistry;Acid;Laboratory;Science;3;4;5;5"
"biology","biology;Plant;Microscope;Green;4;3;5;2"
"university","university;College;Diploma;Cambridge;5;5;5;5"
"physics","physics;Force;Einstein;Energy;3;4;4;5"
"age","18"
"gender","Female"
"nationality","Serbian"
"firstlang","Serbian"
"job","Student"
"stem","1"
