"word","resp"
"complex","complex;Systems;Behavior;conjugate;5;4;3;2"
"chemistry","chemistry;Atoms;Drugs;Life;2;2;2;4"
"mathematics","mathematics;Hard;abstract;symbols;1;1;1;1"
"school","school;friends;teamwork;playing;3;5;5;5"
"life","life;unpredictable;fascinating;hard;3;3;5;3"
"physics","physics;Energy;Solar system;Nature;3;5;4;5"
"university","university;learning;friends; discussions;5;5;5;5"
"biology","biology;tree;geen;life;5;5;5;5"
"art","art;unusual;creative;music;5;5;5;5"
"system","system;thinking;dynamics;complex;5;5;5;5"
"age","36"
"gender","Female"
"nationality","Iranian"
"firstlang","Farsi"
"job","Postdoctoral Fellow in Computational Neuroscience and AI"
"stem","1"
