"word","resp"
"chemistry","chemistry;Formula;Memorizing;Elements;2;2;1;2"
"complex","complex;Algebra;i;System;4;4;5;3"
"art","art;Painting;Colour;Poem;5;5;5;4"
"school","school;Dark;Stress;Break;3;2;1;5"
"life","life;Death;Nature;Free;5;1;5;5"
"system","system;Computer;Politics;Broken;3;4;2;1"
"physics","physics;Fundamental;Beautiful;Explanation;5;5;5;5"
"university","university;Memorizing;Stress;Uncomfortable;2;1;1;1"
"biology","biology;Green;Cell;Formula;4;5;4;2"
"mathematics","mathematics;Theorem;Logic;Proof;5;4;5;4"
"age","21"
"gender","Female"
"nationality","Serbian"
"firstlang","Serbian"
"job","Student"
"stem","2"
