"word","resp"
"chemistry","chemistry;physics;science;lab;3;5;5;3"
"complex","complex;network;complicated;imaginary;4;4;2;2"
"art","art;theatre;music;creative;4;5;5;5"
"school","school;tedious;necessary;children;4;2;2;2"
"life","life;love;complex;;4;5;4;"
"system","system;process;complex;closed;3;3;4;2"
"physics","physics;theory;beautiful;misunderstood;5;4;5;3"
"university","university;study;saturated;debt;4;4;2;1"
"biology","biology;complex;open;science;3;4;2;4"
"mathematics","mathematics;logic;confidence;practice;4;3;2;3"
"age","27"
"gender","Male"
"nationality","British"
"firstlang","English (UK)"
"job",""
"stem","3"
