"word","resp"
"chemistry","chemistry;science;experiments;lab coats;4;5;5;4"
"complex","complex;systems;problem;many factors;5;5;3;4"
"art","art;paintings;museum;artist;5;5;5;5"
"school","school;learning;friends;future;5;5;5;5"
"life","life;joy;future;love;5;5;5;5"
"system","system;complex;solar;global;3;3;3;3"
"physics","physics;science;exact;fundamental;5;5;5;5"
"university","university;studing;future;friends;5;4;5;5"
"biology","biology;science;animals;ecology;4;5;3;4"
"mathematics","mathematics;numbers;equations;physics;4;3;3;5"
"age","40"
"gender","female"
"nationality","Serbian"
"firstlang","Serbian"
"job","scientist"
"stem","3"
