"word","resp"
"chemistry","chemistry;SCHOOL;FORMULAS;OXYGEN;3;3;2;5"
"complex","complex;POSITION;PROBLEM;SITUATION;3;4;4;3"
"art","art;MUSIC;DANCE;DRAWING;5;5;5;5"
"school","school;FRIENDS;LEARNING;MATHS;3;5;5;4"
"life","life;CHESS;MUSIC;LOVE;5;5;5;5"
"system","system;OF A DOWN;OPERATING;WINDOWS;5;5;5;5"
"physics","physics;LAW;NEWTON;EINSTEIN;5;5;5;5"
"university","university;SCHOOL;TIME;NO LIFE;3;3;4;1"
"biology","biology;DISGUSTING;HATE;PLANT;1;1;1;4"
"mathematics","mathematics;FUN;NUMBERS;INTERESTING;4;5;4;5"
"age","18"
"gender","FEMALE"
"nationality","SERBIAN"
"firstlang","SERBIAN"
"job","I'am a high school student"
"stem","1"
