"word","resp"
"chemistry","chemistry;White coat;Fire;Erlenmeyer;3;3;4;4"
"complex","complex;Number;Integral;Network;4;4;5;3"
"art","art;Picture;MOMA building;Greek statues;3;3;4;5"
"school","school;Blackboard and chalk;Physics lab;Two huge trees in the schoolyard;5;4;5;5"
"life","life;Peace;Love;Kids;5;5;5;5"
"system","system;Corrupt;Traditional/rigid;Opportunity;3;1;1;5"
"physics","physics;Quantum;Clarity;Philosophy (real one);5;5;5;5"
"university","university;Graduation hat;Hot summer;Books;4;3;1;5"
"biology","biology;Frogs;Glasses;Gloves;3;2;3;4"
"mathematics","mathematics;russian language;Proof;Hungarian dance no.5;5;5;5;4"
"age","24"
"gender","Male"
"nationality","Serbian"
"firstlang","Serbian"
"job","Physicist"
"stem","2"
