"word","resp"
"physics","physics;Simplicity;World;Love;5;5;5;4"
"life","life;Connection;Evolution;Simplicity;5;5;5;5"
"complex","complex;Interactions;Systems;Mathematics;4;5;4;4"
"chemistry","chemistry;Biochemistry;Life;Mechanisms;3;4;4;4"
"system","system;Complex;Cell ;Universe;5;4;5;5"
"mathematics","mathematics;Physics;Modelling;Statistics;5;5;4;3"
"school","school;Programs;Discipline;Doctrine;5;2;2;1"
"biology","biology;Life;Evolution;Biochemistry;5;;;5"
"university","university;Academia;Science;Education;3;3;4;2"
"art","art;Beauty;Fillings;Honest;5;5;5;5"
"age","28"
"gender","Female"
"nationality","Serbian"
"firstlang","Serbian"
"job","Scientist"
"stem","1"
