"word","resp"
"university","university;Students;Research;Teaching;4;4;5;"
"complex","complex;Simple;Problem;Task;4;2;1;2"
"school","school;Pupil;Teacher ;Blackboard;4;4;4;4"
"chemistry","chemistry;Science;Laboratory;Hard work;4;4;4;4"
"system","system;Organ;Windows;Boot;3;3;3;3"
"biology","biology;Genetics;Laboratory;Animals;4;5;5;5"
"art","art;Painting;Architecture ;Film;5;5;5;5"
"mathematics","mathematics;Calculator;Integrals;Equations;2;2;3;2"
"life","life;Family;Friends;Health;5;5;5;5"
"physics","physics;Research;Equation;Quantum computing ;4;4;2;4"
"age","26"
"gender","Male"
"nationality","Serbian"
"firstlang","Serbian"
"job","Research and teaching associate"
"stem","3"
