"word","resp"
"complex","complex;several parts;Math;emergence;4;4;5;3"
"chemistry","chemistry;Molecule;Energy;Electrons;4;3;4;4"
"life","life;change;evolution;replication;4;4;4;3"
"school","school;education;grow;child;4;5;5;3"
"art","art;useless;presence;illogical;2;2;3;2"
"system","system;interactions;part;model;3;3;4;5"
"biology","biology;Life;cell;change;3;4;3;4"
"mathematics","mathematics;physics;rules;logic;5;5;4;4"
"physics","physics;experiment;simulation;entropy;5;3;5;5"
"university","university;education;academia;anxiety;4;5;2;1"
"age","28"
"gender","Male"
"nationality","Spanish"
"firstlang","Spanish"
"job","Finishing my Ph.D."
"stem","2"
