"word","resp"
"complex","complex;system;science;entangled ;4;5;5;3"
"mathematics","mathematics;formula;equation;theory;4;4;3;3"
"life","life;organic ;warm;organisation;4;4;5;4"
"system","system;components ;network ;relations;5;4;5;5"
"chemistry","chemistry;molecules ;experiments;lab coat;2;1;1;1"
"physics","physics;accelerator ;particles ;laws;2;1;1;4"
"biology","biology;life;organism;;3;4;5;"
"art","art;expression ;empathy;creativity;5;5;5;5"
"school","school;teachers;exams;learning ;2;2;1;5"
"university","university;research;projects;learning;4;5;5;5"
"age","34"
"gender","male "
"nationality","france"
"firstlang","french"
"job","researcher"
"stem","3"
