"word","resp"
"complex","complex;interaction;heterogeneity;approach;4;5;5;3"
"mathematics","mathematics;life;accounting;fun;4;5;2;5"
"life","life;origin;children;mortality;5;2;4;3"
"school","school;fun;mathematics;friends;4;5;4;5"
"university","university;diversity;life;campus;4;5;5;4"
"chemistry","chemistry;medicine;labs;teacher;2;2;2;4"
"biology","biology;life;predators;survival;4;5;1;4"
"system","system;understanding;life;interaction;4;5;5;5"
"art","art;flaneur;subject;contemplation;2;4;3;2"
"physics","physics;motion;school;laws;5;4;4;3"
"age","47"
"gender","Male"
"nationality","Brazilian"
"firstlang","Portuguese"
"job","Researcher"
"stem","3"
