"word","resp"
"school","school;book;teacher;apple;3;3;3;3"
"complex","complex;network;mathematics;problem;3;3;3;3"
"mathematics","mathematics;equation;numbers;algebra;3;3;3;3"
"chemistry","chemistry;explosion;reaction;goggles;3;2;3;3"
"art","art;painting;museum;gallery;4;4;4;3"
"system","system;security;team;parts;3;5;3;3"
"university","university;research;teaching;learning;3;3;3;4"
"life","life;science;death;birth;5;3;2;5"
"biology","biology;chemistry;bodies;life;3;3;3;5"
"physics","physics;mathematics;laws;light;3;3;3;4"
"age","31"
"gender","Male"
"nationality","Irish"
"firstlang","English"
"job","Postdoctoral researcher"
"stem","3"
