"word","resp"
"chemistry","chemistry;baker;H;biology;3;2;4;3"
"mathematics","mathematics;physics;equation;formula;4;5;3;4"
"school","school;teacher;drama;boy;4;3;1;3"
"university","university;degree;script;marking;4;5;1;1"
"physics","physics;laws;newton;bouncing;5;4;3;2"
"biology","biology;green;animals;cell;3;4;4;3"
"system","system;software;complex;equation;2;1;3;4"
"complex","complex;system;world;life;3;2;3;5"
"life","life;movement;cell;baby;5;4;3;2"
"art","art;concept;colors;movie;5;4;5;5"
"age","28"
"gender","male"
"nationality","italian"
"firstlang","italian"
"job","researcher"
"stem","3"
