"word","resp"
"physics","physics;mathematics;laws;equations;5;5;5;5"
"school","school;knowledge;grades ;new;4;5;2;5"
"mathematics","mathematics;pi;beauty;school;5;3;5;4"
"complex","complex;i;numbers;calculus;4;4;5;5"
"life","life;death;cycle ;happiness;5;3;4;5"
"chemistry","chemistry;lab;odours;world structure;4;5;4;5"
"system","system;periodic;transfer function;structure;5;5;5;5"
"art","art;beauty;out of the box;introspection;5;5;5;5"
"university","university;diploma;preparation;friends;5;2;4;5"
"biology","biology;creatures;ecology;descriptiveness ;4;5;5;3"
"age","26"
"gender","female"
"nationality","Serbian"
"firstlang","Serbian"
"job","PhD in neuroscience"
"stem","2"
