"word","resp"
"complex","complex;Model;Networks;Simple;4;4;5;3"
"life","life;Sciences;Biology;Animals;4;4;3;3"
"system","system;Complex;Equations;Dynamics;3;4;4;5"
"mathematics","mathematics;Proof;Rigor;Proper;4;3;4;4"
"chemistry","chemistry;Life;Science;Experiment;2;4;4;3"
"art","art;Creative;Visionary;Perspective;4;4;5;5"
"school","school;Class;Books;Teachers;4;4;3;2"
"biology","biology;Animals;Wet;Lab;3;2;1;1"
"physics","physics;Theory;Science;Framework;4;4;4;5"
"university","university;Courses;Professor;Exam;4;4;2;1"
"age","30"
"gender","Female"
"nationality","Canada"
"firstlang","English"
"job","Postdoc"
"stem","3"
