"word","resp"
"complex","complex;number;simplicial;differential;2;4;4;4"
"mathematics","mathematics;algebra;philosophy;numbers;4;4;5;4"
"physics","physics;nature;gravity;light;5;5;4;4"
"art","art;painting;sculpture;museum;5;5;5;3"
"chemistry","chemistry;organic;compound;molecule;4;4;3;4"
"university","university;academic;teaching;professor;4;4;4;3"
"biology","biology;body;immune system;animals;4;4;4;4"
"life","life;humanity;meaning;happiness;5;5;4;5"
"system","system;computer;programming;society;3;3;3;4"
"school","school;learning;teacher;children;3;4;4;3"
"age","30"
"gender","male"
"nationality","british"
"firstlang","english"
"job","mathematician"
"stem","3"
