"word","resp"
"university","university;students;teachers;blackboard;5;4;5;5"
"biology","biology;students;life;cell;4;4;5;4"
"art","art;painting;sister;artists;4;5;5;3"
"system","system;grid;life;complex;5;3;5;5"
"complex","complex;hard;diffult;idea;5;4;4;5"
"physics","physics;idea;work;universe;5;4;4;5"
"mathematics","mathematics;language;science;numbers;4;5;5;4"
"school","school;kids;park;colours;3;4;4;4"
"life","life;love;sleep;eat;5;5;5;5"
"chemistry","chemistry;science;substance;boring;4;5;2;2"
"age","48"
"gender","Female"
"nationality","Spanish"
"firstlang","Spanish"
"job","University lecturer"
"stem","3"
