"word","resp"
"university","university;Learning;Exam;Friends;5;5;3;4"
"biology","biology;Life;Science;Body;3;5;5;5"
"art","art;Painting;Subjective;Glamour;4;4;4;3"
"physics","physics;Science;Movement;Learning;5;5;4;5"
"system","system;Complex;Set;Structure;3;3;3;5"
"complex","complex;Many;Structure;Function;5;3;4;5"
"life","life;Human;Animals;Earth;5;5;5;5"
"school","school;Kids;Learning;Teachers;3;5;5;5"
"mathematics","mathematics;Numbers;Logic;Fun;5;5;5;5"
"chemistry","chemistry;Elements;Substance;Experiment;3;3;3;5"
"age","32"
"gender","Male"
"nationality","Chilean"
"firstlang","Spanish"
"job","Physicist"
"stem","3"
