"word","resp"
"system","system;operating;government;of values;3;3;2;3"
"mathematics","mathematics;logic;numbers;algorithm;3;4;3;4"
"school","school;study;teacher;book;3;4;3;3"
"biology","biology;nature;body;leaf;3;4;3;3"
"university","university;lecture;professor;classroom;3;2;3;3"
"complex","complex;problem;solution;system;3;3;4;3"
"physics","physics;planets;gravity;laws;3;3;3;3"
"chemistry","chemistry;vials;lab;drugs;3;3;3;3"
"life","life;sciences;people;span;4;4;3;3"
"art","art;artwork;portfolio;artist ;4;4;3;3"
"age",""
"gender",""
"nationality",""
"firstlang",""
"job",""
"stem","3"
