"word","resp"
"life","life;experience;voyage;biology;5;5;5;5"
"chemistry","chemistry;equations;chemical;products;5;5;5;5"
"school","school;class;teachers;grades;3;3;3;2"
"art","art;beautiful;stunning;sculpture;5;5;5;5"
"physics","physics;subject;reality;nature;5;5;5;5"
"system","system;politics;law;agents;3;1;3;3"
"mathematics","mathematics;equations;model;formula;5;5;5;5"
"biology","biology;animal;insects;populations;5;4;2;4"
"complex","complex;system;web;intricated;5;3;3;3"
"university","university;system;education;research;4;5;5;5"
"age","35"
"gender","M"
"nationality","Italian"
"firstlang","Italian"
"job","Researcher"
"stem","3"
