participant_id,source_file,age,gender,nationality,first_language,occupation,stem_background,trial_id,trial_order,stimulus,response1,response2,response3,stimulus_valence,response1_valence,response2_valence,response3_valence
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_000,0,school,teacher,subject,home,5,4,3,4
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_001,1,life,fun,biology,evolution,4,3,4,5
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_002,2,university,study,lecturer,tenure,5,3,4,5
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_003,3,system,complex,equations,model,5,3,4,5
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_004,4,mathematics,language,geometry,equation,4,5,3,4
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_005,5,art,modern,classic,museum,3,5,3,1
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_006,6,complex,system,behaviour,idea,2,3,4,5
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_007,7,chemistry,becker,reagent,ph,1,2,3,5
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_008,8,biology,cell,life,science,1,1,4,3
cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s.csv,31,male,italian,,Scientific consultant,,cfm_v4_1547111322f402483c37742ee80d6f713a63c33fbe_s_trial_009,9,physics,science,nature,mathematics,3,2,4,2
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_000,0,chemistry,science,industry,quantum mechanics,4,5,5,4
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_001,1,mathematics,tool,elegance,abstraction,5,3,3,3
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_002,2,university,research,knowledge,,4,4,5,
cfm_v4_1547118362b43475194133526d1eba26d34816b776_s,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s.csv,32,female,french,,researcher,,cfm_v4_1547118362b43475194133526d1eba26d34816b776_s_trial_003,3,art,beautiful,colors,expression,5,5,4,5
