Subject,Age,Gender,Ita_Word,Eng_Word,Visual,Gustatory,Haptic,Olfactory,Auditory
3,23,F,ABBAGLIO,dazzle,5,0,0,0,0
3,23,F,ABBANDONATO,derelict,4,0,0,0,0
3,23,F,ABBONDANZA,abundance,5,0,0,0,0
3,23,F,ABBRACCIO,hug,5,0,5,0,0
3,23,F,ABETE,fir,4,0,1,0,0
3,23,F,ABITANTE,inhabitant,3,0,0,0,0
3,23,F,ABITAZIONE,house,5,0,4,3,1
3,23,F,ABITO,dress,5,0,4,1,0
3,23,F,ABITUDINI,habit,2,2,2,2,2
3,23,F,ABORTO,abortion,1,0,0,0,1
3,23,F,ABUSO,abuse,1,0,0,0,2
3,23,F,ACCETTAZIONE,acceptance,2,0,0,0,1
3,23,F,ACCOGLIENTE,cozy,5,0,1,0,0
3,23,F,ACCOMODANTE,easygoing,1,0,0,0,1
3,23,F,ACCORDO,agreement,1,0,0,0,3
3,23,F,ACQUA,water,3,2,0,0,2
3,23,F,ADORABILE,adorable,5,0,1,0,3
3,23,F,ADULTO,adult,4,0,0,0,3
3,23,F,AEREO,plane,4,0,0,0,4
3,23,F,AFFAMATO,hungry,3,0,0,0,0
3,23,F,AFFASCINARE,fascinate,5,0,0,2,4
3,23,F,AFFATICATO,fatigued,2,0,0,0,2
3,23,F,AFFETTO,affection,1,0,2,0,2
3,23,F,AFFLIZIONE,grief,3,0,0,0,1
3,23,F,AFFOGARE,drown,3,0,3,0,5
3,23,F,AGGRESSIONE,assault,4,0,3,0,3
3,23,F,AGGRESSIVO,aggressive,3,0,3,0,2
3,23,F,AGILE,limber,4,0,1,0,0
3,23,F,AGNELLO,lamb,3,1,0,0,2
3,23,F,AGO,needle,4,0,4,0,0
3,23,F,AGONIA,agony,3,0,0,0,3
3,23,F,ALBA,sunrise,5,0,0,0,0
3,23,F,ALBERO,tree,4,0,2,0,1
3,23,F,ALCOLISTA,alcoholic,2,0,0,3,0
3,23,F,ALIENO,alien,4,0,0,0,3
3,23,F,ALLEGRO,merry,3,0,0,0,3
3,23,F,ALLERGIA,allergy,1,0,0,1,1
3,23,F,ALLERTA,alert,3,0,0,0,3
3,23,F,AMATO,loved,5,2,4,4,4
3,23,F,AMBIZIONE,ambition,0,0,0,0,0
3,23,F,AMBULANZA,ambulance,4,0,0,0,4
3,23,F,AMICHEVOLE,friendly,1,0,0,0,0
3,23,F,AMICO,friend,4,0,3,1,3
3,23,F,AMMIRATO,admired,2,0,0,0,1
3,23,F,AMORE,love,1,0,1,0,0
3,23,F,ANGELO,angel,5,0,0,0,0
3,23,F,ANGOLO,corner,5,0,3,0,0
3,23,F,ANGOSCIATO,anguished,3,0,0,0,3
3,23,F,ANIMALE_DOMESTICO,pet,5,0,5,2,5
3,23,F,ANNOIATO,bored,1,0,0,0,1
3,23,F,ANSIOSO,anxious,3,0,0,0,2
3,23,F,APATICO,listless,4,0,0,0,3
3,23,F,APE,bees,5,0,4,0,5
3,23,F,APPENDIABITI,clothes_hanger,4,0,2,0,0
3,23,F,APPETITOSO,luscious,4,5,0,4,0
3,23,F,APPLAUSO,applause,4,0,0,0,5
3,23,F,APPRENDERE,learn,1,0,0,0,1
3,23,F,ARCOBALENO,rainbow,5,0,0,0,0
3,23,F,ARIA,air,0,0,1,0,0
3,23,F,ARMA,weapon,5,0,5,0,5
3,23,F,ARMADIETTO,locker,5,0,5,0,0
3,23,F,ARMADIO,closet,4,0,3,0,1
3,23,F,ARRABBIATO,angry,4,0,0,0,3
3,23,F,ARROGANTE,arrogant,0,0,0,0,2
3,23,F,ARRUGGINITO,rusty,3,0,1,0,0
3,23,F,ARTE,art,5,1,3,0,5
3,23,F,ASCENSORE,elevator,5,0,2,1,4
3,23,F,ASCIUGACAPELLI,hairdryer,5,0,5,0,5
3,23,F,ASILO,nursery,4,0,0,0,3
3,23,F,ASPRO,sour,0,5,0,0,0
3,23,F,ASSASSINO,assassin,3,0,0,0,0
3,23,F,ASSEDIATO,embattled,2,0,0,0,2
3,23,F,ASSICURARE,secure,0,0,0,0,0
3,23,F,ASSO,ace,3,0,0,0,0
3,23,F,ASSURDO,absurd,5,0,1,0,1
3,23,F,ASTIO,venom,0,0,0,0,1
3,23,F,ASTRONAUTA,astronaut,3,0,0,0,1
3,23,F,ATLETICA,athletics,3,0,1,0,2
3,23,F,ATTICO,penthouse,5,0,0,0,0
3,23,F,ATTIVARE,activate,4,0,2,0,4
3,23,F,ATTRAENTE,handsome,5,1,1,3,4
3,23,F,ATTREZZO,tool,5,0,4,0,3
3,23,F,AUDACE,bold,3,0,0,0,3
3,23,F,AURORA,dawn,5,0,0,0,0
3,23,F,AUTOBUS,bus,5,0,3,4,4
3,23,F,AUTOMOBILE,car,4,0,4,1,3
3,23,F,AUTOSTRADA,highway,5,0,0,0,0
3,23,F,AUTUNNO,autumn,4,0,0,2,0
3,23,F,AVVENTURA,adventure,3,0,2,0,2
3,23,F,AVVERSIONE,hatred,3,0,0,0,3
3,23,F,BACIO,kiss,3,2,0,0,2
3,23,F,BACO,maggot,4,0,1,0,0
3,23,F,BAGNO,bathroom,5,0,3,2,4
3,23,F,BALCONE,balcony,5,0,5,0,0
3,23,F,BAMBINO,child,5,0,3,2,5
3,23,F,BAMBOLA,doll,4,0,2,0,0
3,23,F,BANCAROTTA,bankrupt,0,0,0,0,0
3,23,F,BANDIERA,flag,3,0,2,0,0
3,23,F,BAR,bar,5,1,0,1,4
3,23,F,BARA,coffin,4,0,1,0,0
3,23,F,BARCA,sailboat,5,0,3,0,1
3,23,F,BARILE,barrel,5,0,4,0,0
3,23,F,BASTARDO,bastard,0,0,0,0,1
