participant_id,age,gender,trial_id,condition,stimulus,stimulus_translation,visual_rating,gustatory_rating,haptic_rating,olfactory_rating,auditory_rating
3,23,female,rating_3_0000,perceptual_strength_rating,ABBAGLIO,dazzle,5,0,0,0,0
3,23,female,rating_3_0001,perceptual_strength_rating,ABBANDONATO,derelict,4,0,0,0,0
3,23,female,rating_3_0002,perceptual_strength_rating,ABBONDANZA,abundance,5,0,0,0,0
3,23,female,rating_3_0003,perceptual_strength_rating,ABBRACCIO,hug,5,0,5,0,0
3,23,female,rating_3_0004,perceptual_strength_rating,ABETE,fir,4,0,1,0,0
3,23,female,rating_3_0005,perceptual_strength_rating,ABITANTE,inhabitant,3,0,0,0,0
3,23,female,rating_3_0006,perceptual_strength_rating,ABITAZIONE,house,5,0,4,3,1
3,23,female,rating_3_0007,perceptual_strength_rating,ABITO,dress,5,0,4,1,0
3,23,female,rating_3_0008,perceptual_strength_rating,ABITUDINI,habit,2,2,2,2,2
3,23,female,rating_3_0009,perceptual_strength_rating,ABORTO,abortion,1,0,0,0,1
3,23,female,rating_3_0010,perceptual_strength_rating,ABUSO,abuse,1,0,0,0,2
3,23,female,rating_3_0011,perceptual_strength_rating,ACCETTAZIONE,acceptance,2,0,0,0,1
3,23,female,rating_3_0012,perceptual_strength_rating,ACCOGLIENTE,cozy,5,0,1,0,0
3,23,female,rating_3_0013,perceptual_strength_rating,ACCOMODANTE,easygoing,1,0,0,0,1
3,23,female,rating_3_0014,perceptual_strength_rating,ACCORDO,agreement,1,0,0,0,3
3,23,female,rating_3_0015,perceptual_strength_rating,ACQUA,water,3,2,0,0,2
3,23,female,rating_3_0016,perceptual_strength_rating,ADORABILE,adorable,5,0,1,0,3
3,23,female,rating_3_0017,perceptual_strength_rating,ADULTO,adult,4,0,0,0,3
3,23,female,rating_3_0018,perceptual_strength_rating,AEREO,plane,4,0,0,0,4
3,23,female,rating_3_0019,perceptual_strength_rating,AFFAMATO,hungry,3,0,0,0,0
3,23,female,rating_3_0020,perceptual_strength_rating,AFFASCINARE,fascinate,5,0,0,2,4
3,23,female,rating_3_0021,perceptual_strength_rating,AFFATICATO,fatigued,2,0,0,0,2
3,23,female,rating_3_0022,perceptual_strength_rating,AFFETTO,affection,1,0,2,0,2
3,23,female,rating_3_0023,perceptual_strength_rating,AFFLIZIONE,grief,3,0,0,0,1
3,23,female,rating_3_0024,perceptual_strength_rating,AFFOGARE,drown,3,0,3,0,5
3,23,female,rating_3_0025,perceptual_strength_rating,AGGRESSIONE,assault,4,0,3,0,3
3,23,female,rating_3_0026,perceptual_strength_rating,AGGRESSIVO,aggressive,3,0,3,0,2
3,23,female,rating_3_0027,perceptual_strength_rating,AGILE,limber,4,0,1,0,0
